reviewerID,asin,overall,unixReviewTime
43,13,1,946598400
110,29,1,964396800
42,13,1,968112000
66,18,1,976406400
126,36,1,979084800
146,49,1,980294400
43,49,1,993427200
113,30,1,996019200
79,25,1,1015459200
958,445,1,1031011200
36,10,1,1032480000
79,137,1,1034812800
79,138,1,1034812800
78,25,1,1038441600
277,113,1,1042070400
277,84,1,1042329600
79,554,1,1043366400
79,573,1,1043366400
79,57,1,1043884800
79,146,1,1044489600
411,135,1,1047254400
77,24,1,1048377600
58,104,1,1056067200
61,60,1,1057017600
61,134,1,1057017600
370,116,1,1057363200
58,554,1,1057968000
57,15,1,1058313600
79,150,1,1061856000
404,132,1,1068854400
316,97,1,1070323200
80,25,1,1070496000
125,35,1,1076457600
593,490,1,1078272000
113,1037,1,1078876800
593,240,1,1078963200
2054,1169,1,1080345600
79,3727,1,1086652800
90,455,1,1090454400
389,122,1,1093996800
1926,1073,1,1095206400
593,660,1,1095811200
593,2345,1,1095897600
1110,545,1,1097366400
319,99,1,1100995200
319,455,1,1100995200
78,545,1,1101168000
79,307,1,1105488000
1120,7071,1,1106352000
1543,826,1,1111708800
1971,1124,1,1114041600
54,14,1,1115337600
261,1015,1,1115510400
316,6222,1,1115942400
976,456,1,1116979200
316,3072,1,1117065600
1599,10515,1,1117065600
1162,4853,1,1117324800
1663,962,1,1117324800
563,2619,1,1117670400
1599,865,1,1118188800
1120,1237,1,1118707200
29,7,1,1119398400
2761,1925,1,1119398400
2553,1691,1,1120521600
124,4180,1,1120780800
159,6010,1,1122076800
734,1506,1,1122595200
198,62,1,1123286400
159,1237,1,1123372800
260,452,1,1125273600
1963,1112,1,1125273600
147,50,1,1125792000
261,1762,1,1125792000
1740,970,1,1126137600
672,963,1,1126396800
1785,1005,1,1126569600
2386,1544,1,1126656000
1030,3267,1,1127260800
222,655,1,1127692800
268,874,1,1128297600
159,56,1,1128384000
58,427,1,1129075200
37,10,1,1129593600
1010,1005,1,1129680000
2843,3487,1,1131148800
1,1,1,1131408000
128,1237,1,1131494400
1990,1131,1,1131494400
1267,660,1,1132012800
268,4955,1,1132358400
58,3388,1,1132444800
340,108,1,1132444800
79,1762,1,1132617600
1607,1708,1,1132704000
190,2843,1,1132790400
157,1198,1,1132876800
323,101,1,1133654400
2552,1691,1,1133827200
128,38,1,1133913600
128,585,1,1134345600
2528,2088,1,1134691200
2528,1901,1,1134777600
2569,1708,1,1134777600
2600,1748,1,1135900800
323,267,1,1135987200
2402,1691,1,1137110400
67,1708,1,1138147200
1528,1708,1,1138320000
1824,1030,1,1138752000
2554,1691,1,1140220800
3793,4438,1,1140739200
1599,1636,1,1140998400
3085,2395,1,1140998400
495,181,1,1141084800
159,2225,1,1141776000
2031,1157,1,1142467200
2602,1749,1,1142553600
114,30,1,1142640000
1118,1708,1,1143417600
329,553,1,1143504000
2553,1708,1,1143849600
3082,2387,1,1144540800
1970,7391,1,1145318400
198,1507,1,1145404800
198,1540,1,1145404800
261,3236,1,1145664000
2817,2006,1,1145836800
1599,5668,1,1146009600
543,206,1,1146441600
321,100,1,1146873600
1599,3152,1,1147219200
1796,1093,1,1147564800
2138,1708,1,1147737600
508,942,1,1148256000
2606,1755,1,1148515200
2204,1708,1,1148774400
1599,2684,1,1149120000
2042,1691,1,1149120000
1891,1057,1,1149552000
1599,2686,1,1149638400
1599,1929,1,1150243200
1604,870,1,1150588800
672,2071,1,1150675200
3064,2373,1,1151020800
1604,5027,1,1151193600
629,630,1,1151452800
1534,2636,1,1151884800
3088,2400,1,1152057600
3675,5926,1,1152057600
1190,606,1,1152748800
1242,638,1,1152748800
544,2121,1,1153008000
404,1993,1,1153440000
3151,2515,1,1153699200
1952,1266,1,1153958400
351,3152,1,1154217600
642,1533,1,1154304000
1944,3387,1,1154304000
629,268,1,1154390400
2151,1280,1,1154908800
2553,2763,1,1155081600
1971,1516,1,1155168000
303,1668,1,1156118400
3451,3025,1,1156118400
283,88,1,1156377600
956,445,1,1156377600
2101,2916,1,1156377600
323,2961,1,1156982400
1891,2227,1,1157500800
1891,2124,1,1157932800
1891,2132,1,1158019200
1328,2551,1,1158451200
402,4197,1,1158624000
128,4002,1,1158883200
3085,2393,1,1158883200
261,4955,1,1159142400
455,154,1,1159401600
1903,1061,1,1160006400
239,2069,1,1160352000
2461,3103,1,1160352000
1030,1485,1,1160524800
261,2984,1,1160956800
66,1711,1,1161043200
395,127,1,1161043200
2593,2058,1,1161043200
2345,5988,1,1161129600
1824,2582,1,1161648000
1303,1043,1,1161993600
599,1748,1,1162512000
2065,2530,1,1162512000
599,2058,1,1162598400
599,1044,1,1162684800
160,1917,1,1162771200
1926,1549,1,1162857600
2641,3530,1,1162857600
79,936,1,1163116800
261,79,1,1163203200
3438,3007,1,1163203200
261,1038,1,1163289600
543,924,1,1163376000
1227,631,1,1163894400
2181,1309,1,1164067200
3141,2496,1,1164153600
1812,4063,1,1164326400
364,115,1,1165276800
2063,2842,1,1165276800
1297,3616,1,1165363200
152,1084,1,1165795200
650,1920,1,1165795200
142,923,1,1165968000
1295,677,1,1165968000
3539,3209,1,1165968000
2063,2604,1,1166054400
1479,2396,1,1166140800
1782,1002,1,1166140800
3175,2559,1,1166313600
2077,1199,1,1166400000
412,1335,1,1166572800
1763,6399,1,1166572800
356,1759,1,1166659200
1672,1534,1,1166832000
323,845,1,1167091200
462,156,1,1167177600
341,3788,1,1167264000
1424,1925,1,1167264000
1994,3187,1,1167264000
1334,1302,1,1167523200
1334,1353,1,1167523200
2353,3621,1,1167523200
60,963,1,1167696000
980,461,1,1167696000
628,2643,1,1167782400
2255,1369,1,1167782400
3253,2700,1,1167782400
3357,2886,1,1167782400
3419,3153,1,1167868800
1794,2421,1,1167955200
60,15,1,1168214400
718,3632,1,1168214400
60,554,1,1168387200
356,112,1,1168387200
218,1777,1,1168473600
439,150,1,1168473600
1604,1259,1,1168473600
1604,1260,1,1168473600
314,95,1,1168732800
1688,938,1,1168732800
1688,2545,1,1168732800
3206,2603,1,1168732800
113,3879,1,1168819200
1124,605,1,1168819200
2639,1807,1,1168992000
563,2175,1,1169078400
563,2493,1,1169078400
1944,1237,1,1169251200
292,3201,1,1169337600
446,2655,1,1169424000
446,2719,1,1169424000
924,3413,1,1169596800
446,1004,1,1169856000
3282,2767,1,1170115200
3163,2550,1,1170201600
3163,2680,1,1170201600
222,2446,1,1170633600
60,2631,1,1170720000
128,3125,1,1170892800
2830,2776,1,1171065600
239,69,1,1171152000
1908,1305,1,1171238400
980,487,1,1171324800
1686,936,1,1171324800
2461,7644,1,1171843200
3282,3232,1,1171929600
3682,3506,1,1172188800
1660,911,1,1172793600
